step,accuracies,chosen,entropy,eval_entropy,eval_loss,learning_rate,loss,margins,rejected,train_loss
1,0.0,-156.5428839111328,,1.0776720476150512,0.6931471824645996,,,0.0,-163.3722752380371,
2,0.0,0.0,,,0.6931471824645996,,,0.0,0.0,
3,0.4,-148.22077350616456,1.052011688798666,,,4.9175824175824175e-06,0.691,0.005877097067423165,-164.5899305343628,
4,0.48125,-161.9755111694336,1.0134850800037385,,,4.642857142857144e-06,0.6918,0.004969884944148362,-174.68296279907227,
5,0.44375,-161.87632846832275,1.0472233466804028,,,4.368131868131868e-06,0.6931,0.003152882307767868,-165.26650848388672,
6,0.54375,-160.97287139892578,1.0160309873521327,,,4.093406593406594e-06,0.6884,0.016326742083765566,-171.187650680542,
7,0.5375,-150.11014556884766,1.0503192089498044,,,3.818681318681319e-06,0.6847,0.02344388704514131,-162.6733018875122,
8,0.45,-152.34529609680175,0.9998154513537884,,,3.5439560439560446e-06,0.6917,0.014004172617569565,-161.40793972015382,
9,0.48125,-161.5845277786255,1.0851863592863082,,,3.2692307692307696e-06,0.7594,-0.06474927249364555,-172.5381113052368,
10,0.46875,-162.8791530609131,1.0236274272203445,,,2.9945054945054946e-06,0.692,0.009022229351103306,-168.22836055755616,
11,0.54375,-169.78012161254884,1.10879620090127,,,2.71978021978022e-06,0.6885,0.017772777797654273,-173.48601665496827,
12,0.4375,-148.92413291931152,0.9116650491952896,,,2.4450549450549454e-06,0.6894,0.013615225162357091,-156.75919647216796,
13,0.5125,-157.2634078979492,1.049993746727705,,,2.1703296703296704e-06,0.6852,0.02644946149084717,-166.5762035369873,
14,0.48125,-156.71216831207275,1.027825126796961,,,1.8956043956043958e-06,0.6928,0.010857844399288297,-165.16818141937256,
15,0.5625,-161.21460704803468,1.1020590014755727,,,1.6208791208791212e-06,0.6743,0.047414626483805476,-172.80779914855958,
16,0.53125,-147.26372261047362,0.9397133223712444,,,1.3461538461538462e-06,0.6794,0.03409957967232913,-151.03294429779052,
17,0.60625,-157.83589515686035,0.9858689621090889,,,1.0714285714285714e-06,0.6722,0.051393019827082755,-163.52702236175537,
18,0.54375,-154.5130403518677,0.9991609886288643,,,7.967032967032967e-07,0.6737,0.046400376758538184,-160.76792087554932,
19,0.53125,-165.42603607177733,1.1067530363798141,,,5.219780219780221e-07,0.6887,0.02450165837071836,-174.0373254776001,
20,0.54375,-155.23527393341064,0.9900853604078292,,,2.472527472527473e-07,0.6713,0.05113988192752004,-162.4607973098755,
21,0.575,-161.85794067382812,1.0177274197340012,,,,,0.02725240619232257,-166.65226771036785,0.6889711136513568
22,0.535,0.13688464473932982,,,0.6802406311035156,,,0.0331721917539835,0.10371245197951794,
