step,accuracies,chosen,entropy,eval_entropy,eval_loss,learning_rate,loss,margins,rejected,train_loss
1,0.0,-129.74071266174317,,1.127205182313919,0.6931471824645996,,,0.0,-136.2836664581299,
2,0.0,0.0,,,0.6931471824645996,,,0.0,0.0,
3,0.31875,-121.66583318710327,1.1015619613230228,,,4.9175824175824175e-06,0.6976,-0.007566981832496822,-137.88593521118165,
4,0.475,-135.22375240325928,1.059024366736412,,,4.642857142857144e-06,0.6973,-0.0055881038075312976,-147.5927350997925,
5,0.49375,-135.01010007858275,1.0936034113168716,,,4.368131868131868e-06,0.6835,0.022253886424005033,-138.3967086791992,
6,0.5,-133.8318024635315,1.0600561156868935,,,4.093406593406594e-06,0.6883,0.014169022534042596,-143.6135132789612,
7,0.525,-123.70951442718506,1.102888349443674,,,3.818681318681319e-06,0.6911,0.00859655167441815,-136.28510856628418,
8,0.43125,-125.79708490371704,1.0533294595777989,,,3.5439560439560446e-06,0.694,0.0014595929475035518,-134.75564832687377,
9,0.525,-133.99986972808838,1.1385341592133045,,,3.2692307692307696e-06,0.6855,0.02184444994200021,-145.00134181976318,
10,0.4875,-135.73644695281982,1.074930476397276,,,2.9945054945054946e-06,0.6941,0.0025139018543995917,-141.07035846710204,
11,0.5125,-143.440763092041,1.1604831039905548,,,2.71978021978022e-06,0.6848,0.02307678838260472,-147.18411693572997,
12,0.43125,-121.58209943771362,0.958909061551094,,,2.4450549450549454e-06,0.6905,0.010230874666012824,-129.54732704162598,
13,0.5625,-130.79596691131593,1.1092957139015198,,,2.1703296703296704e-06,0.6809,0.04041777816601098,-139.74600992202758,
14,0.54375,-129.6393443107605,1.077659859508276,,,1.8956043956043958e-06,0.6864,0.02384474463760853,-138.43463211059571,
15,0.53125,-134.65746631622315,1.1527352273464202,,,1.6208791208791212e-06,0.6781,0.03897343254648149,-145.94228553771973,
16,0.5375,-120.37296113967895,0.9888786412775517,,,1.3461538461538462e-06,0.6834,0.026412833319045603,-124.66075248718262,
17,0.575,-130.23104372024537,1.0405192367732525,,,1.0714285714285714e-06,0.6743,0.044461749715264884,-135.429354095459,
18,0.48125,-127.7935606956482,1.0531158909201621,,,7.967032967032967e-07,0.6714,0.06400488873478025,-134.70056266784667,
19,0.53125,-138.07796878814696,1.1612037613987922,,,5.219780219780221e-07,0.6754,0.04601010889746249,-147.53074493408204,
20,0.55625,-128.5322057723999,1.0391993276774882,,,2.472527472527473e-07,0.6795,0.03341490365564823,-135.39414949417113,
21,0.6166666666666667,-134.11083170572917,1.0670387585957846,,,,,0.02200364712625742,-139.113995997111,0.6852744969915836
22,0.595,0.1464256552606821,,,0.6696169972419739,,,0.0517876572906971,0.09463799754157662,
