step,accuracies,chosen,entropy,eval_entropy,eval_loss,learning_rate,loss,margins,rejected,train_loss
1,0.0,-121.92379995492789,,1.7860976274196918,0.6931471824645996,,,0.0,-129.98519017146185,
2,0.0,0.0,,,0.6931471824645996,,,0.0,0.0,
3,0.325,-111.7003303527832,1.756662654876709,,,4.9175824175824175e-06,0.6945,-0.0018817675299942493,-125.68081741333008,
4,0.55,-126.58720550537109,1.753986370563507,,,4.642857142857144e-06,0.6926,0.0026105073979124428,-135.94761581420897,
5,0.375,-124.7262092590332,1.7225535750389098,,,4.368131868131868e-06,0.6984,-0.009481760207563639,-128.66932067871093,
6,0.4875,-125.68503112792969,1.6938015222549438,,,4.093406593406594e-06,0.6951,-0.002751713013276458,-131.08043975830077,
7,0.4625,-119.70690078735352,1.829450523853302,,,3.818681318681319e-06,0.6907,0.006088246894069016,-128.32742080688476,
8,0.4625,-112.10308456420898,1.7554688334465027,,,3.5439560439560446e-06,0.6898,0.00764864468947053,-119.40236282348633,
9,0.48125,-125.85660018920899,1.8078333616256714,,,3.2692307692307696e-06,0.6898,0.008003456797450782,-133.8007019042969,
10,0.45,-128.66206588745118,1.7087788343429566,,,2.9945054945054946e-06,0.6941,-0.0006504136137664319,-131.14467391967773,
11,0.475,-136.190518951416,1.903213918209076,,,2.71978021978022e-06,0.6926,0.002147704130038619,-139.11740493774414,
12,0.40625,-110.58582611083985,1.6382062077522277,,,2.4450549450549454e-06,0.6921,0.0031146863009780647,-116.77728271484375,
13,0.44375,-121.35105743408204,1.6851465344429015,,,2.1703296703296704e-06,0.6937,0.0001541451085358858,-129.315096282959,
14,0.53125,-118.28745956420899,1.7641260743141174,,,1.8956043956043958e-06,0.688,0.011204333463683724,-126.886962890625,
15,0.55,-126.80983200073243,1.7842601418495179,,,1.6208791208791212e-06,0.6853,0.0171435235068202,-134.93208999633788,
16,0.38125,-109.12520980834961,1.6628296852111817,,,1.3461538461538462e-06,0.6981,-0.008978074043989181,-114.88186416625976,
17,0.45625,-119.7535614013672,1.7224005818367005,,,1.0714285714285714e-06,0.6958,-0.004243423696607351,-125.13442001342773,
18,0.46875,-121.94838485717773,1.746227252483368,,,7.967032967032967e-07,0.6934,0.0004078024998307228,-125.4516372680664,
19,0.5,-128.64045257568358,1.7713438391685485,,,5.219780219780221e-07,0.6916,0.004376039281487465,-133.45384140014647,
20,0.45,-122.00258712768554,1.772325074672699,,,2.472527472527473e-07,0.6949,-0.002267603576183319,-126.01232452392578,
21,0.484375,-125.33352565765381,1.7094345837831497,,,,,-0.005755754187703133,-129.07836437225342,0.6929670293280419
22,0.47115384615384615,0.00641421010144628,,,0.6905319094657898,,,0.005022359385083501,0.0013918514685848584,
