step,accuracies,chosen,entropy,eval_entropy,eval_loss,learning_rate,loss,margins,rejected,train_loss
1,0.0,-129.74071266174317,,1.127205182313919,0.6931471824645996,,,0.0,-136.2836664581299,
2,0.0,0.0,,,0.6931471824645996,,,0.0,0.0,
3,0.31875,-121.66583318710327,1.1015619613230228,,,4.9175824175824175e-06,0.6976,-0.007566981832496822,-137.88593521118165,
4,0.475,-135.22375240325928,1.059024366736412,,,4.642857142857144e-06,0.6973,-0.0055881038075312976,-147.5927350997925,
5,0.49375,-135.01010007858275,1.0936034113168716,,,4.368131868131868e-06,0.6835,0.022253886424005033,-138.3967086791992,
6,0.5,-133.8318024635315,1.0600561156868935,,,4.093406593406594e-06,0.6883,0.014169022534042596,-143.6135132789612,
7,0.525,-123.70951442718506,1.102888349443674,,,3.818681318681319e-06,0.6911,0.00859655167441815,-136.28510856628418,
8,0.43125,-125.79708490371704,1.0533294595777989,,,3.5439560439560446e-06,0.694,0.0014595929475035518,-134.75564832687377,
9,0.525,-133.99986972808838,1.1385341592133045,,,3.2692307692307696e-06,0.6855,0.02184444994200021,-145.00134181976318,
10,0.4875,-135.73644695281982,1.074930476397276,,,2.9945054945054946e-06,0.6941,0.0025139018543995917,-141.07035846710204,
11,0.5125,-143.440763092041,1.1604831039905548,,,2.71978021978022e-06,0.6848,0.02307678838260472,-147.18411693572997,
12,0.43125,-121.58209943771362,0.958909061551094,,,2.4450549450549454e-06,0.6905,0.010230874666012824,-129.54732704162598,
13,0.5625,-130.79596691131593,1.1092957139015198,,,2.1703296703296704e-06,0.6809,0.04041777816601098,-139.74600992202758,
14,0.54375,-129.6393443107605,1.077659859508276,,,1.8956043956043958e-06,0.6864,0.02384474463760853,-138.43463211059571,
15,0.53125,-134.65746631622315,1.1527352273464202,,,1.6208791208791212e-06,0.6781,0.03897343254648149,-145.94228553771973,
16,0.5375,-120.37296113967895,0.9888786412775517,,,1.3461538461538462e-06,0.6834,0.026412833319045603,-124.66075248718262,
17,0.575,-130.23104372024537,1.0405192367732525,,,1.0714285714285714e-06,0.6743,0.044461749715264884,-135.429354095459,
18,0.48125,-127.7935606956482,1.0531158909201621,,,7.967032967032967e-07,0.6714,0.06400488873478025,-134.70056266784667,
19,0.53125,-138.07796878814696,1.1612037613987922,,,5.219780219780221e-07,0.6754,0.04601010889746249,-147.53074493408204,
20,0.55625,-128.5322057723999,1.0391993276774882,,,2.472527472527473e-07,0.6795,0.03341490365564823,-135.39414949417113,
21,0.6166666666666667,-134.11083170572917,1.0670387585957846,,,,,0.02200364712625742,-139.113995997111,0.6852744969915836
22,0.595,0.1464256552606821,,,0.6696169972419739,,,0.0517876572906971,0.09463799754157662,
23,0.0,-121.92379995492789,,1.7860976274196918,0.6931471824645996,,,0.0,-129.98519017146185,
24,0.0,0.0,,,0.6931471824645996,,,0.0,0.0,
25,0.34375,-111.70287857055663,1.7577468514442445,,,4.9175824175824175e-06,0.6944,-0.0018023601733148098,-125.68416061401368,
26,0.55625,-126.59552459716797,1.7538224935531617,,,4.642857142857144e-06,0.6894,0.008748280792497098,-136.01731033325194,
27,0.4375,-124.72572784423828,1.7211118459701538,,,4.368131868131868e-06,0.6952,-0.003261591529008001,-128.73104019165038,
28,0.46875,-125.65530929565429,1.6941227436065673,,,4.093406593406594e-06,0.6943,-0.00120617370121181,-131.06617965698243,
29,0.4125,-119.74278411865234,1.828834307193756,,,3.818681318681319e-06,0.6953,-0.003304230934008956,-128.2693748474121,
30,0.41875,-112.1023178100586,1.755282747745514,,,3.5439560439560446e-06,0.6937,5.2148662507534024e-05,-119.32563247680665,
31,0.48125,-125.87164764404297,1.8074458122253418,,,3.2692307692307696e-06,0.6915,0.0044158609118312596,-133.7798728942871,
32,0.525,-128.62265853881837,1.709110713005066,,,2.9945054945054946e-06,0.6892,0.0091275526676327,-131.20304412841796,
33,0.46875,-136.205086517334,1.903052806854248,,,2.71978021978022e-06,0.695,-0.0025948518654331566,-139.08454666137695,
34,0.45625,-110.52373657226562,1.6382216572761537,,,2.4450549450549454e-06,0.6903,0.006707587372511625,-116.751123046875,
35,0.46875,-121.30678024291993,1.6860861897468566,,,2.1703296703296704e-06,0.691,0.00529693653807044,-129.3222412109375,
36,0.49375,-118.25278091430664,1.764154326915741,,,1.8956043956043958e-06,0.6891,0.009128072811290622,-126.83152389526367,
37,0.4625,-126.89470443725585,1.784530794620514,,,1.6208791208791212e-06,0.6908,0.005730712506920099,-134.9028350830078,
38,0.39375,-109.11269607543946,1.662811553478241,,,1.3461538461538462e-06,0.6989,-0.01045689577003941,-114.85456466674805,
39,0.39375,-119.79434967041016,1.7224717140197754,,,1.0714285714285714e-06,0.6981,-0.008886268851347268,-125.12877960205078,
40,0.4875,-121.89995956420898,1.746373438835144,,,7.967032967032967e-07,0.689,0.009311288455501198,-125.49224395751953,
41,0.43125,-128.62963943481446,1.7701523303985596,,,5.219780219780221e-07,0.693,0.0013944587670266628,-133.41321258544923,
42,0.5,-121.95083541870117,1.7717490911483764,,,2.472527472527473e-07,0.6906,0.006205937825143337,-126.04530715942383,
43,0.4609375,-125.26872730255127,1.7081643640995026,,,,,0.0031399913714267313,-129.10252571105957,0.6926887542643445
44,0.46634615384615385,0.008611760746974211,,,0.6890645027160645,,,0.006992328338898146,0.0016194323543459177,
