Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/190 [00:00<?, ?it/s]
Loading weights:  27%|██▋       | 52/190 [00:00<00:00, 518.34it/s]
Loading weights: 100%|██████████| 190/190 [00:00<00:00, 1833.79it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!

Loading weights:   0%|          | 0/559 [00:00<?, ?it/s]
Loading weights:   7%|▋         | 41/559 [00:00<00:01, 394.11it/s]
Loading weights:  15%|█▍        | 82/559 [00:00<00:01, 391.21it/s]
Loading weights:  22%|██▏       | 124/559 [00:00<00:01, 399.89it/s]
Loading weights:  30%|██▉       | 166/559 [00:00<00:00, 396.49it/s]
Loading weights:  37%|███▋      | 206/559 [00:00<00:00, 396.66it/s]
Loading weights:  44%|████▍     | 247/559 [00:00<00:00, 389.57it/s]
Loading weights:  52%|█████▏    | 288/559 [00:00<00:00, 392.22it/s]
Loading weights:  59%|█████▊    | 328/559 [00:00<00:00, 386.87it/s]
Loading weights:  66%|██████▌   | 367/559 [00:00<00:00, 355.88it/s]
Loading weights:  72%|███████▏  | 404/559 [00:01<00:00, 343.15it/s]
Loading weights:  79%|███████▊  | 439/559 [00:01<00:00, 333.37it/s]
Loading weights:  85%|████████▍ | 473/559 [00:01<00:00, 328.61it/s]
Loading weights:  91%|█████████ | 508/559 [00:01<00:00, 324.17it/s]
Loading weights:  97%|█████████▋| 541/559 [00:01<00:00, 323.57it/s]
Loading weights: 100%|██████████| 559/559 [00:01<00:00, 349.53it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.

[GKD setup]
student         : google/flan-t5-small
teacher         : google/flan-t5-xxl
device          : cuda
divergence      : jsd
beta            : 0.50
lambda          : 0.50
updates         : 1000
micro batch     : 1
grad accum      : 16
effective batch : 16
save dir        : /home/ubuntu/t5_gsm8k/t5_small_gsm8k_gkd_true_laptop


train:   0%|          | 0/1000 [00:00<?, ?it/s]
train:   0%|          | 0/1000 [00:05<?, ?it/s, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:   0%|          | 1/1000 [00:05<1:36:07,  5.77s/it, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
                                                                                                              
train:   0%|          | 1/1000 [00:05<1:36:07,  5.77s/it, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:   0%|          | 1/1000 [00:07<1:36:07,  5.77s/it, loss=0.2558, lr=7.50e-06, sup=14, onp=2, gpu=22.24G]
train:   0%|          | 2/1000 [00:07<1:05:45,  3.95s/it, loss=0.2558, lr=7.50e-06, sup=14, onp=2, gpu=22.24G]
train:   0%|          | 2/1000 [00:11<1:05:45,  3.95s/it, loss=0.2628, lr=1.12e-05, sup=8, onp=8, gpu=22.29G] 
train:   0%|          | 3/1000 [00:11<1:04:53,  3.91s/it, loss=0.2628, lr=1.12e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 3/1000 [00:16<1:04:53,  3.91s/it, loss=0.2478, lr=1.50e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 4/1000 [00:16<1:09:49,  4.21s/it, loss=0.2478, lr=1.50e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 4/1000 [00:20<1:09:49,  4.21s/it, loss=0.2412, lr=1.87e-05, sup=11, onp=5, gpu=22.29G]
train:   0%|          | 5/1000 [00:20<1:09:02,  4.16s/it, loss=0.2412, lr=1.87e-05, sup=11, onp=5, gpu=22.29G]
train:   0%|          | 5/1000 [00:26<1:09:02,  4.16s/it, loss=0.2311, lr=2.25e-05, sup=7, onp=9, gpu=22.29G] 
train:   1%|          | 6/1000 [00:26<1:13:35,  4.44s/it, loss=0.2311, lr=2.25e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 6/1000 [00:31<1:13:35,  4.44s/it, loss=0.2210, lr=2.62e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 7/1000 [00:31<1:15:28,  4.56s/it, loss=0.2210, lr=2.62e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 7/1000 [00:35<1:15:28,  4.56s/it, loss=0.2489, lr=3.00e-05, sup=11, onp=5, gpu=22.29G]
train:   1%|          | 8/1000 [00:35<1:12:39,  4.40s/it, loss=0.2489, lr=3.00e-05, sup=11, onp=5, gpu=22.29G]
train:   1%|          | 8/1000 [00:40<1:12:39,  4.40s/it, loss=0.2017, lr=3.38e-05, sup=6, onp=10, gpu=22.29G]
train:   1%|          | 9/1000 [00:40<1:14:29,  4.51s/it, loss=0.2017, lr=3.38e-05, sup=6, onp=10, gpu=22.29G]
train:   1%|          | 9/1000 [00:48<1:14:29,  4.51s/it, loss=0.2139, lr=3.75e-05, sup=7, onp=9, gpu=22.29G] 
train:   1%|          | 10/1000 [00:48<1:21:48,  4.96s/it, loss=0.2139, lr=3.75e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 10/1000 [00:53<1:21:48,  4.96s/it, loss=0.2380, lr=4.12e-05, sup=9, onp=7, gpu=22.29G]
train:   1%|          | 11/1000 [00:53<1:21:41,  4.96s/it, loss=0.2380, lr=4.12e-05, sup=9, onp=7, gpu=22.29G]
train:   1%|          | 11/1000 [01:01<1:21:41,  4.96s/it, loss=0.2174, lr=4.50e-05, sup=5, onp=11, gpu=22.29G]
train:   1%|          | 12/1000 [01:01<1:26:39,  5.26s/it, loss=0.2174, lr=4.50e-05, sup=5, onp=11, gpu=22.29G]
train:   1%|          | 12/1000 [01:08<1:26:39,  5.26s/it, loss=0.2095, lr=4.87e-05, sup=5, onp=11, gpu=22.29G]
train:   1%|▏         | 13/1000 [01:08<1:29:18,  5.43s/it, loss=0.2095, lr=4.87e-05, sup=5, onp=11, gpu=22.29G]
train:   1%|▏         | 13/1000 [01:12<1:29:18,  5.43s/it, loss=0.2315, lr=5.25e-05, sup=9, onp=7, gpu=22.29G] 
train:   1%|▏         | 14/1000 [01:12<1:27:36,  5.33s/it, loss=0.2315, lr=5.25e-05, sup=9, onp=7, gpu=22.29G]
train:   1%|▏         | 14/1000 [01:19<1:27:36,  5.33s/it, loss=0.1919, lr=5.62e-05, sup=6, onp=10, gpu=22.29G]
train:   2%|▏         | 15/1000 [01:19<1:29:35,  5.46s/it, loss=0.1919, lr=5.62e-05, sup=6, onp=10, gpu=22.29G]
train:   2%|▏         | 15/1000 [01:24<1:29:35,  5.46s/it, loss=0.2046, lr=6.00e-05, sup=8, onp=8, gpu=22.29G] 
train:   2%|▏         | 16/1000 [01:24<1:28:53,  5.42s/it, loss=0.2046, lr=6.00e-05, sup=8, onp=8, gpu=22.29G]
train:   2%|▏         | 16/1000 [01:29<1:28:53,  5.42s/it, loss=0.2136, lr=6.37e-05, sup=10, onp=6, gpu=22.29G]
train:   2%|▏         | 17/1000 [01:29<1:28:03,  5.37s/it, loss=0.2136, lr=6.37e-05, sup=10, onp=6, gpu=22.29G]
train:   2%|▏         | 17/1000 [01:33<1:28:03,  5.37s/it, loss=0.2104, lr=6.75e-05, sup=8, onp=8, gpu=22.29G] 
train:   2%|▏         | 18/1000 [01:33<1:26:59,  5.32s/it, loss=0.2104, lr=6.75e-05, sup=8, onp=8, gpu=22.29G]
train:   2%|▏         | 18/1000 [01:40<1:26:59,  5.32s/it, loss=0.1986, lr=7.12e-05, sup=5, onp=11, gpu=22.29G]
train:   2%|▏         | 19/1000 [01:40<1:29:07,  5.45s/it, loss=0.1986, lr=7.12e-05, sup=5, onp=11, gpu=22.29G]
train:   2%|▏         | 19/1000 [01:47<1:29:07,  5.45s/it, loss=0.1923, lr=7.50e-05, sup=8, onp=8, gpu=22.29G] 
train:   2%|▏         | 20/1000 [01:47<1:31:06,  5.58s/it, loss=0.1923, lr=7.50e-05, sup=8, onp=8, gpu=22.29G]
train:   2%|▏         | 20/1000 [01:56<1:31:06,  5.58s/it, loss=0.2103, lr=7.87e-05, sup=8, onp=8, gpu=22.29G]
train:   2%|▏         | 21/1000 [01:56<1:34:24,  5.79s/it, loss=0.2103, lr=7.87e-05, sup=8, onp=8, gpu=22.29G]
train:   2%|▏         | 21/1000 [02:04<1:34:24,  5.79s/it, loss=0.1868, lr=8.25e-05, sup=8, onp=8, gpu=22.29G]
train:   2%|▏         | 22/1000 [02:04<1:37:10,  5.96s/it, loss=0.1868, lr=8.25e-05, sup=8, onp=8, gpu=22.29G]
train:   2%|▏         | 22/1000 [02:13<1:37:10,  5.96s/it, loss=0.1787, lr=8.62e-05, sup=5, onp=11, gpu=22.29G]
train:   2%|▏         | 23/1000 [02:13<1:40:18,  6.16s/it, loss=0.1787, lr=8.62e-05, sup=5, onp=11, gpu=22.29G]
train:   2%|▏         | 23/1000 [02:20<1:40:18,  6.16s/it, loss=0.1746, lr=9.00e-05, sup=5, onp=11, gpu=22.29G]
train:   2%|▏         | 24/1000 [02:20<1:41:54,  6.26s/it, loss=0.1746, lr=9.00e-05, sup=5, onp=11, gpu=22.29G]
train:   2%|▏         | 24/1000 [02:29<1:41:54,  6.26s/it, loss=0.1788, lr=9.37e-05, sup=2, onp=14, gpu=22.29G]
train:   2%|▎         | 25/1000 [02:29<1:45:12,  6.47s/it, loss=0.1788, lr=9.37e-05, sup=2, onp=14, gpu=22.29G]
                                                                                                               
train:   2%|▎         | 25/1000 [02:29<1:45:12,  6.47s/it, loss=0.1788, lr=9.37e-05, sup=2, onp=14, gpu=22.29G]
train:   2%|▎         | 25/1000 [02:36<1:45:12,  6.47s/it, loss=0.2034, lr=9.75e-05, sup=8, onp=8, gpu=22.29G] 
